1,2,141
1,3,35
1,4,127
1,5,69
1,6,68
1,7,17
1,8,22
1,9,41
1,10,15
1,11,27
1,12,137
1,13,24
1,14,55
1,16,41
1,17,15
1,18,6
1,19,72
1,20,200
1,21,3
1,22,50
1,23,47
1,24,12
1,25,176
1,26,160
1,27,60
1,28,10
1,29,144
1,30,104
1,31,33
1,32,13
1,33,33
1,34,13
1,35,47
1,36,24
1,37,20
1,38,27
1,39,45
1,40,27
1,41,17
1,42,9
1,43,27
1,44,55
1,45,37
1,46,548
1,47,39
1,48,172
1,49,14
1,50,12
1,51,324
1,52,47
1,53,16
1,54,30
1,55,33
1,56,10
1,57,206
1,58,196
1,59,19
1,60,143
1,61,34
1,62,36
1,63,47
1,64,14
1,65,162
1,66,14
1,67,8
1,68,34
1,69,39
1,70,32
1,71,44
1,72,16
1,73,48
1,74,80
1,75,293
1,76,40
1,77,117
1,78,143
1,79,44
1,80,40
1,81,23
1,82,31
1,83,17
1,84,39
1,85,18
1,86,19
1,87,14
1,88,28
2,3,17
2,4,116
2,5,38
2,6,83
2,7,33
2,8,20
2,9,17
2,10,23
2,11,20
2,12,70
2,13,6
2,14,48
2,15,17
2,16,15
2,17,7
2,18,22
2,19,21
2,20,74
2,21,2
2,22,22
2,23,20
2,24,8
2,25,112
2,26,62
2,27,23
2,28,4
2,29,19
2,30,2
2,31,14
2,32,3
2,33,7
2,34,2
2,35,18
2,36,3
2,37,5
2,38,3
2,39,45
2,40,39
2,41,44
2,42,4
2,43,3
2,44,41
2,45,21
2,46,236
2,47,21
2,48,97
2,49,6
2,50,10
2,51,187
2,52,8
2,53,10
2,54,22
2,55,16
2,56,39
2,57,141
2,58,93
2,59,1
2,60,113
2,61,36
2,62,14
2,63,36
2,64,3
2,65,154
2,66,2
2,67,6
2,68,41
2,69,1
2,70,32
2,71,13
2,72,16
2,73,24
2,74,97
2,75,99
2,76,2
2,77,72
2,78,37
2,79,5
2,80,18
2,81,15
2,82,33
2,83,8
2,84,35
2,87,2
2,88,35
3,4,20
3,5,13
3,6,11
3,7,2
3,8,7
3,11,2
3,12,21
3,13,6
3,14,2
3,16,26
3,17,1
3,19,12
3,20,28
3,22,10
3,23,3
3,24,1
3,25,18
3,26,27
3,27,7
3,28,4
3,29,2
3,30,4
3,31,2
3,32,7
3,35,6
3,40,29
3,43,1
3,44,4
3,46,51
3,47,13
3,48,32
3,49,1
3,51,51
3,52,4
3,56,4
3,57,14
3,58,21
3,59,2
3,60,15
3,62,1
3,63,19
3,65,19
3,66,3
3,68,20
3,69,2
3,70,3
3,71,2
3,72,1
3,74,18
3,75,57
3,77,18
3,78,21
3,79,4
3,80,4
3,81,2
3,82,1
3,84,14
3,85,3
3,86,6
3,87,1
3,88,1
4,5,58
4,6,48
4,7,20
4,8,28
4,9,35
4,10,16
4,11,16
4,12,57
4,13,12
4,14,30
4,15,13
4,16,17
4,17,7
4,18,14
4,19,20
4,20,62
4,22,22
4,23,11
4,24,8
4,25,62
4,26,60
4,27,25
4,28,5
4,29,38
4,30,15
4,31,19
4,32,3
4,33,11
4,34,7
4,35,13
4,36,4
4,37,13
4,38,16
4,39,28
4,40,16
4,41,8
4,42,7
4,43,1
4,44,47
4,45,22
4,46,213
4,47,24
4,48,117
4,49,9
4,50,17
4,51,248
4,52,20
4,53,5
4,54,19
4,55,32
4,56,3
4,57,122
4,58,106
4,59,8
4,60,83
4,61,2
4,62,15
4,63,22
4,64,10
4,65,76
4,66,9
4,67,8
4,68,31
4,69,9
4,70,2
4,71,1
4,72,8
4,73,64
4,74,39
4,75,93
4,76,6
4,77,98
4,78,67
4,79,11
4,80,25
4,81,11
4,82,9
4,83,5
4,84,14
4,85,17
4,86,16
4,87,7
4,88,4
5,6,18
5,8,4
5,9,11
5,10,1
5,11,8
5,12,26
5,13,12
5,14,13
5,16,15
5,17,13
5,19,20
5,20,49
5,21,2
5,22,21
5,23,7
5,24,1
5,25,67
5,26,49
5,27,16
5,28,2
5,29,32
5,30,23
5,31,13
5,32,8
5,33,12
5,34,15
5,35,14
5,36,2
5,37,11
5,38,19
5,39,2
5,40,69
5,42,5
5,43,7
5,44,27
5,45,17
5,46,106
5,47,22
5,48,20
5,49,4
5,51,44
5,52,4
5,53,2
5,54,4
5,55,1
5,57,61
5,58,56
5,59,4
5,60,46
5,61,1
5,62,6
5,63,20
5,64,3
5,65,37
5,66,13
5,67,1
5,68,20
5,69,3
5,70,6
5,71,12
5,73,2
5,74,31
5,75,74
5,76,7
5,77,58
5,78,65
5,79,8
5,80,25
5,81,12
5,82,8
5,83,1
5,84,19
5,85,10
5,86,5
5,87,2
5,88,13
6,8,6
6,9,24
6,10,2
6,11,6
6,12,20
6,13,2
6,14,5
6,15,2
6,16,14
6,17,4
6,18,2
6,19,20
6,20,30
6,21,2
6,22,14
6,23,11
6,24,6
6,25,34
6,26,21
6,27,8
6,28,3
6,29,12
6,30,1
6,31,7
6,32,2
6,33,2
6,34,1
6,35,7
6,36,4
6,37,3
6,38,3
6,39,10
6,40,14
6,41,12
6,42,9
6,43,2
6,44,16
6,45,4
6,46,99
6,47,12
6,48,53
6,49,2
6,50,5
6,51,95
6,52,1
6,53,2
6,54,9
6,55,7
6,57,50
6,58,51
6,59,1
6,60,36
6,61,13
6,62,6
6,63,10
6,64,1
6,65,43
6,66,8
6,67,5
6,68,18
6,69,1
6,70,5
6,71,7
6,73,13
6,74,26
6,75,46
6,76,2
6,77,30
6,78,20
6,79,3
6,80,13
6,81,1
6,82,12
6,83,4
6,84,11
6,85,6
6,87,4
6,88,9
7,8,5
7,9,3
7,10,1
7,11,2
7,12,15
7,13,1
7,14,1
7,15,12
7,17,1
7,18,2
7,20,14
7,21,1
7,22,1
7,24,2
7,25,18
7,26,14
7,28,1
7,29,5
7,30,1
7,31,1
7,33,2
7,35,3
7,37,1
7,38,1
7,39,5
7,40,2
7,41,1
7,42,1
7,43,1
7,44,1
7,45,3
7,46,43
7,47,1
7,48,15
7,49,2
7,51,26
7,52,5
7,53,1
7,54,2
7,55,2
7,57,21
7,58,6
7,60,14
7,62,1
7,63,3
7,64,1
7,65,22
7,66,1
7,67,2
7,69,3
7,70,5
7,71,6
7,72,3
7,73,5
7,74,9
7,75,15
7,76,1
7,77,7
7,78,6
7,79,2
7,81,3
7,82,1
7,84,3
8,9,4
8,11,1
8,12,8
8,13,3
8,15,1
8,16,8
8,18,2
8,19,4
8,20,7
8,22,6
8,23,6
8,24,1
8,25,5
8,26,19
8,27,10
8,28,6
8,29,6
8,30,9
8,31,4
8,32,2
8,33,2
8,35,2
8,36,1
8,37,2
8,38,2
8,39,6
8,40,6
8,41,5
8,44,3
8,45,5
8,46,43
8,47,4
8,48,26
8,51,45
8,53,5
8,54,2
8,56,8
8,57,14
8,58,19
8,59,1
8,60,14
8,62,1
8,63,7
8,64,1
8,65,16
8,67,1
8,68,1
8,72,1
8,73,8
8,74,7
8,75,16
8,76,1
8,77,13
8,78,3
8,80,1
8,81,2
8,83,4
8,84,4
8,85,1
8,87,4
8,88,1
9,10,9
9,11,7
9,12,11
9,13,4
9,14,9
9,15,12
9,16,2
9,17,1
9,18,3
9,19,3
9,20,19
9,21,2
9,22,3
9,23,5
9,24,3
9,25,22
9,26,12
9,27,8
9,28,3
9,29,10
9,30,13
9,31,1
9,32,1
9,33,4
9,34,1
9,35,19
9,36,3
9,37,4
9,38,2
9,39,1
9,40,1
9,41,1
9,42,57
9,43,1
9,44,58
9,45,20
9,46,188
9,47,7
9,48,60
9,49,1
9,50,2
9,51,74
9,52,5
9,53,2
9,54,13
9,55,5
9,57,83
9,58,83
9,60,25
9,62,4
9,63,9
9,64,1
9,65,28
9,66,37
9,67,17
9,72,1
9,73,28
9,74,8
9,75,20
9,76,1
9,77,9
9,78,10
9,80,8
9,81,2
9,82,2
9,83,5
9,84,8
9,85,44
9,86,8
9,87,1
10,11,2
10,14,3
10,15,26
10,18,30
10,20,6
10,26,3
10,27,11
10,35,3
10,36,1
10,37,1
10,38,1
10,42,8
10,44,8
10,45,4
10,46,29
10,47,1
10,48,10
10,50,1
10,51,31
10,52,1
10,54,5
10,55,3
10,56,6
10,57,29
10,58,9
10,60,9
10,62,2
10,63,3
10,65,8
10,66,3
10,67,4
10,72,1
10,73,14
10,74,9
10,75,2
10,78,2
10,80,1
10,81,3
10,83,2
10,85,4
10,86,1
11,12,7
11,13,1
11,14,12
11,15,2
11,16,4
11,17,1
11,19,5
11,20,24
11,21,1
11,22,3
11,23,2
11,24,2
11,25,13
11,26,15
11,27,11
11,29,15
11,30,9
11,31,4
11,32,2
11,33,4
11,34,3
11,35,5
11,36,1
11,37,1
11,39,1
11,40,4
11,42,3
11,43,5
11,44,11
11,45,4
11,46,52
11,47,4
11,48,21
11,50,3
11,51,36
11,52,3
11,55,5
11,57,15
11,58,14
11,59,2
11,60,15
11,62,2
11,63,9
11,64,4
11,65,17
11,66,2
11,68,4
11,69,2
11,71,3
11,72,4
11,74,4
11,75,32
11,76,2
11,77,16
11,78,33
11,79,7
11,80,4
11,81,3
11,82,1
11,84,2
11,85,3
11,86,2
11,87,2
11,88,1
12,13,25
12,14,26
12,15,11
12,16,19
12,17,5
12,18,2
12,19,28
12,20,99
12,21,2
12,22,16
12,23,23
12,24,7
12,25,104
12,26,67
12,27,16
12,28,3
12,29,77
12,30,63
12,31,21
12,32,12
12,33,20
12,34,5
12,35,33
12,36,8
12,37,4
12,38,2
12,39,13
12,40,22
12,43,10
12,44,30
12,45,9
12,46,260
12,47,16
12,48,76
12,49,7
12,50,2
12,51,202
12,52,29
12,53,3
12,54,7
12,55,6
12,56,6
12,57,106
12,58,99
12,59,11
12,60,64
12,62,14
12,63,18
12,64,5
12,65,80
12,66,2
12,67,1
12,68,9
12,69,9
12,70,14
12,71,6
12,72,14
12,73,7
12,74,44
12,75,146
12,76,23
12,77,57
12,78,52
12,79,20
12,80,29
12,81,14
12,82,24
12,83,3
12,84,20
12,85,9
12,86,8
12,87,3
12,88,11
13,14,8
13,16,8
13,17,3
13,19,7
13,20,15
13,22,6
13,23,12
13,24,5
13,25,18
13,26,29
13,27,10
13,28,1
13,29,13
13,30,14
13,31,4
13,32,4
13,33,3
13,34,1
13,35,5
13,36,4
13,37,1
13,40,10
13,42,2
13,43,3
13,44,12
13,45,2
13,46,40
13,47,3
13,48,13
13,49,1
13,51,39
13,52,6
13,54,2
13,56,3
13,57,29
13,58,17
13,59,3
13,60,15
13,62,4
13,63,3
13,64,2
13,65,14
13,66,4
13,67,2
13,69,5
13,70,2
13,71,5
13,72,3
13,73,1
13,74,2
13,75,38
13,76,2
13,77,17
13,78,17
13,79,3
13,80,2
13,81,6
13,82,1
13,83,4
13,84,4
13,85,3
13,86,2
13,87,1
13,88,2
14,17,4
14,19,6
14,20,18
14,22,2
14,23,3
14,25,23
14,26,21
14,27,13
14,28,1
14,29,30
14,30,8
14,31,9
14,32,1
14,33,8
14,34,11
14,35,13
14,36,4
14,37,6
14,38,8
14,40,4
14,42,5
14,43,2
14,44,30
