1	2	226
1	3	35
1	4	127
1	5	69
1	6	22
1	7	41
1	8	15
1	9	27
1	10	137
1	11	24
1	12	55
1	14	113
1	15	15
1	16	6
1	17	200
1	18	3
1	19	50
1	20	47
1	21	12
1	22	176
1	23	160
1	24	60
1	25	10
1	26	281
1	27	46
1	28	13
1	29	47
1	30	24
1	31	47
1	32	45
1	33	27
1	34	17
1	35	9
1	36	27
1	37	55
1	38	37
1	39	548
1	40	39
1	41	506
1	42	61
1	43	45
1	44	16
1	45	30
1	46	206
1	47	196
1	48	19
1	49	305
1	50	34
1	51	36
1	52	47
1	53	14
1	54	14
1	55	8
1	56	34
1	57	83
1	58	32
1	59	44
1	60	39
1	61	48
1	62	80
1	63	293
1	64	40
1	65	117
1	66	143
1	67	40
1	68	31
1	69	17
1	70	39
1	71	37
1	72	14
1	73	28
2	3	30
2	4	184
2	5	56
2	6	31
2	7	44
2	8	26
2	9	28
2	10	105
2	11	9
2	12	54
2	13	31
2	14	70
2	15	12
2	16	26
2	17	118
2	18	5
2	19	37
2	20	31
2	21	16
2	22	164
2	23	97
2	24	31
2	25	8
2	26	51
2	27	27
2	28	3
2	29	28
2	30	7
2	31	16
2	32	60
2	33	55
2	34	57
2	35	14
2	36	6
2	37	58
2	38	28
2	39	378
2	40	34
2	41	512
2	42	24
2	43	40
2	44	13
2	45	33
2	46	212
2	47	150
2	48	2
2	49	382
2	50	49
2	51	21
2	52	49
2	53	5
2	54	11
2	55	13
2	56	59
2	57	15
2	58	42
2	59	26
2	60	38
2	61	42
2	62	132
2	63	160
2	64	5
2	65	109
2	66	63
2	67	31
2	68	46
2	69	12
2	70	49
2	71	6
2	72	6
2	73	44
3	4	20
3	5	13
3	6	7
3	9	2
3	10	21
3	11	6
3	12	2
3	14	38
3	15	1
3	17	28
3	19	10
3	20	3
3	21	1
3	22	18
3	23	27
3	24	7
3	25	4
3	26	6
3	27	9
3	29	6
3	33	29
3	36	1
3	37	4
3	39	51
3	40	13
3	41	87
3	42	5
3	46	14
3	47	21
